elapsed_s,latency_s,msg_count,version
0,22.03549170109392,27594,Spark 3.5
1,11.988575922302445,13797,Spark 3.5
2,21.807331029016897,22711,Spark 3.5
3,20.101269347428666,144735,Spark 3.5
4,25.511107400606168,204794,Spark 3.5
5,25.572063320031084,193209,Spark 3.5
6,24.7032487123204,161725,Spark 3.5
7,23.62628895651929,214887,Spark 3.5
8,22.601211261272876,182395,Spark 3.5
9,21.621798443267874,228427,Spark 3.5
10,20.675730876400976,211022,Spark 3.5
11,19.771294037497483,94675,Spark 3.5
12,18.508944152963775,82529,Spark 3.5
13,17.582708563893114,191922,Spark 3.5
14,16.71911175303496,132587,Spark 3.5
15,16.35847105847889,131472,Spark 3.5
16,19.328924148668587,76439,Spark 3.5
17,18.96541491210429,183569,Spark 3.5
18,21.687242297605867,267774,Spark 3.5
19,20.69024765953725,237560,Spark 3.5
20,19.71154906398092,238617,Spark 3.5
21,18.675247459408947,241381,Spark 3.5
22,17.71030922528879,201869,Spark 3.5
23,16.76864007375685,101957,Spark 3.5
24,15.679639091645752,55485,Spark 3.5
25,14.730307303914335,109722,Spark 3.5
26,13.62922807433094,71788,Spark 3.5
27,12.556312179075073,49856,Spark 3.5
28,11.63107214061726,157193,Spark 3.5
29,11.311593247971343,201184,Spark 3.5
30,10.948002972078635,239563,Spark 3.5
31,12.785609321377498,237776,Spark 3.5
32,13.753497890156837,243146,Spark 3.5
33,12.831958777670488,201517,Spark 3.5
34,11.81069620586085,178723,Spark 3.5
35,11.78928944432785,209764,Spark 3.5
36,12.642844629571975,145845,Spark 3.5
37,11.54910262288847,84182,Spark 3.5
38,12.18817272257042,86995,Spark 3.5
39,13.362591785303183,82535,Spark 3.5
40,13.83699501226464,97439,Spark 3.5
41,12.872387066867478,86290,Spark 3.5
42,11.873045799143906,67272,Spark 3.5
43,10.803625908253903,50509,Spark 3.5
44,10.503066213335229,170736,Spark 3.5
45,10.950525166732696,239006,Spark 3.5
46,13.791677016074054,288841,Spark 3.5
47,14.544797101449465,258681,Spark 3.5
48,13.719539673304332,230306,Spark 3.5
49,16.364996151972534,86278,Spark 3.5
50,14.7728971178982,31366,Spark 3.5
51,14.741676999010362,78814,Spark 3.5
52,14.491616562754963,79395,Spark 3.5
53,14.962579879094033,55415,Spark 3.5
54,15.121291508478139,79020,Spark 3.5
55,14.590166630766333,88207,Spark 3.5
56,13.870491755913697,66108,Spark 3.5
57,13.685396507778668,34133,Spark 3.5
58,14.023386196440631,58043,Spark 3.5
59,14.422315868464482,59968,Spark 3.5
60,13.885268660249482,38022,Spark 3.5
61,13.319478317660415,68904,Spark 3.5
62,13.805976920869684,80159,Spark 3.5
63,13.457134583596556,66546,Spark 3.5
64,11.418002634320299,67190,Spark 3.5
65,11.03620201043024,66155,Spark 3.5
66,11.000411665049272,56665,Spark 3.5
67,11.931340826698564,57651,Spark 3.5
68,11.105154673404343,61743,Spark 3.5
69,10.483721056869987,94392,Spark 3.5
70,9.983742759362116,70712,Spark 3.5
71,9.62313853996331,57478,Spark 3.5
72,9.448524711308819,61571,Spark 3.5
73,9.971816403664604,57414,Spark 3.5
74,9.57688717224611,135277,Spark 3.5
75,10.087448100242838,267429,Spark 3.5
76,9.10807585121444,216661,Spark 3.5
77,8.061914080022854,155156,Spark 3.5
78,7.155261811086465,284415,Spark 3.5
79,11.300487890714848,232714,Spark 3.5
80,11.210725967918744,269005,Spark 3.5
81,10.518764624730826,202961,Spark 3.5
82,9.598671938426873,203727,Spark 3.5
83,8.571543765847633,210598,Spark 3.5
84,7.8768799042758175,234005,Spark 3.5
85,9.795753475263707,272857,Spark 3.5
86,12.249321556383878,216836,Spark 3.5
87,13.419008054300049,194182,Spark 3.5
88,15.233580802608051,106129,Spark 3.5
89,16.646330646427824,38210,Spark 3.5
90,16.3950614539223,39672,Spark 3.5
91,16.120002904688455,53362,Spark 3.5
92,15.161978585220263,51273,Spark 3.5
93,15.38645685578355,67877,Spark 3.5
94,15.908667369079753,47930,Spark 3.5
95,16.13672692642564,36752,Spark 3.5
96,15.909055283065504,36087,Spark 3.5
97,15.535162777347129,34839,Spark 3.5
98,14.528878926119274,43841,Spark 3.5
99,13.643687750310987,65169,Spark 3.5
100,12.76349844736302,49271,Spark 3.5
101,11.546155875345946,206107,Spark 3.5
102,10.526861370927488,199179,Spark 3.5
103,9.554408538714151,297984,Spark 3.5
104,8.578187462357123,252376,Spark 3.5
105,9.943234131650309,265308,Spark 3.5
106,11.64744681448275,235111,Spark 3.5
107,11.463350412331856,293089,Spark 3.5
108,10.416020910765909,251832,Spark 3.5
109,10.94231201910423,220682,Spark 3.5
110,12.554666808014879,94330,Spark 3.5
111,13.770497771643956,44203,Spark 3.5
112,13.275512466197087,63973,Spark 3.5
113,13.700975100911618,66147,Spark 3.5
114,14.0585529999247,66085,Spark 3.5
115,14.346980568673423,40656,Spark 3.5
116,13.92503561384198,32712,Spark 3.5
117,13.30260510776783,47927,Spark 3.5
118,12.58004050206295,51627,Spark 3.5
119,11.579711358684072,56908,Spark 3.5
120,10.38053245811888,74496,Spark 3.5
121,9.357526659491501,96626,Spark 3.5
122,8.486699980588774,262733,Spark 3.5
123,8.187033478111603,215962,Spark 3.5
124,9.56867735265731,295995,Spark 3.5
125,12.374451224953141,284623,Spark 3.5
126,11.452926466296034,270665,Spark 3.5
127,10.413428241051465,246039,Spark 3.5
128,9.388815472606606,215930,Spark 3.5
129,8.383617559058912,220923,Spark 3.5
130,7.3178490541674135,170379,Spark 3.5
131,6.698069589505151,67309,Spark 3.5
0,21.365126100847924,74488,Spark 4.2
1,20.344208939909066,155930,Spark 4.2
2,27.912244311997004,230529,Spark 4.2
3,27.007032359414175,160417,Spark 4.2
4,25.74091306134503,77871,Spark 4.2
5,24.852530567949906,205951,Spark 4.2
6,23.912257630063184,237154,Spark 4.2
7,22.91218555362895,190290,Spark 4.2
8,21.93398730740853,208862,Spark 4.2
9,20.922932344888885,243278,Spark 4.2
10,19.96756860317471,190618,Spark 4.2
11,18.833173062305097,46047,Spark 4.2
12,17.826407339271515,183724,Spark 4.2
13,16.903502959006993,250929,Spark 4.2
14,16.677150854788028,242750,Spark 4.2
15,22.667308623829264,227915,Spark 4.2
16,23.722638936004504,241730,Spark 4.2
17,22.773592974818584,236720,Spark 4.2
18,21.743058085213796,163329,Spark 4.2
19,20.74524015055619,186508,Spark 4.2
20,19.806379734105725,167059,Spark 4.2
21,18.73388485253615,228837,Spark 4.2
